GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,org.springframework.web,HttpMessageConverterUtils,54,111,11,5,16,22,10,6,2,6
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.starter,Jackson2Configuration,0,9,0,0,0,3,0,2,0,2
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.starter,WebApplicationAutoConfiguration,34,31,4,0,4,7,3,4,1,4
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.starter,GsonConfiguration,3,3,0,0,1,1,1,1,1,1
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,org.springframework.http.converter,Utf8StringHttpMessageConverter,89,0,2,0,30,0,5,0,4,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,Jetty9ServerCustomizers.NullSessionIdManager,7,0,0,0,3,0,2,0,2,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,TokenBasedCookie,103,0,4,0,24,0,8,0,6,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,JsonToken,55,0,8,0,14,0,8,0,4,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,Jetty9ServerCustomizers.AccessLog,89,0,0,0,23,0,4,0,4,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,Jetty9ServerCustomizers.ForwardedRequest,20,0,0,0,8,0,3,0,3,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,Jetty9ServerCustomizers,205,0,20,0,48,0,25,0,15,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,Jetty9ServerCustomizers.HideServerInfo,24,0,0,0,10,0,3,0,3,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,SecureToken,69,0,8,0,20,0,9,0,5,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,StringToken,7,0,0,0,3,0,3,0,3,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,JsonWebToken,47,0,2,0,11,0,6,0,5,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,TypeSafeCookie,110,0,20,0,25,0,14,0,4,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,Jetty9ServerCustomizers.Pool,40,0,0,0,7,0,3,0,3,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,UrlEncodedToken,25,0,0,0,7,0,3,0,3,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,Jetty9ServerCustomizers.RedirectToHostRoot,72,0,4,0,13,0,4,0,2,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.api,Jetty9ServerCustomizers.Gzip,68,0,0,0,16,0,3,0,3,0
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.internal,DefaultDomainResolver,36,11,5,1,8,4,8,1,5,1
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.internal,DefaultRequestResolver,106,10,16,0,17,4,12,2,4,2
oss-lib-webmvc-spring-boot-1.5.6.RELEASE,cn.home1.oss.lib.webmvc.internal,DefaultHttpEntityMethodProcessor,51,63,6,0,13,15,9,6,6,6
